trial_idx,vendor,model,temperature,reasoning_level,majority_vote,ground_truth
0,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
1,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
2,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
3,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
4,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,POSITIVE
5,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
6,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
7,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
8,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
9,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
10,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
11,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
12,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
13,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
14,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
15,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
16,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
17,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
18,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
19,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
20,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
21,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
22,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
23,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
24,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
25,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
26,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,NEGATIVE
27,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
28,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
29,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
30,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
31,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,POSITIVE
32,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
33,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
34,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
35,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
36,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
37,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
38,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
39,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
40,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
41,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
42,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
43,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
44,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
45,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
46,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
47,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
48,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
49,openai,gpt-5.2-2025-12-11,0.0,none,NEGATIVE,NEGATIVE
50,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,NEGATIVE
51,openai,gpt-5.2-2025-12-11,0.0,none,POSITIVE,POSITIVE
